フランス料理,ふらんすりょうり,フランスリョウリ
イタリア料理,いたりありょうり,イタリアリョウリ
韓国料理,かんこくりょうり,カンコクリョウリ
エスニック料理,えすにっくりょうり,エスニックリョウリ
ヒューマンドラマ,ひゅーまんどらま,ヒューマンドラマ
ラブロマンス,らぶろまんす,ラブロマンス
コメディ,こめでぃ,コメディ
アクション,あくしょん,アクション
SF,えすえふ,エスエフ
サスペンス,さすぺんす,サスペンス
ホラー,ほらー,ホラー
ドキュメンタリー,どきゅめんたりー,ドキュメンタリー
アニメーション,あにめーしょん,アニメーション
芸術,げいじゅつ,ゲイジュツ
Jﾘｰｸﾞ,じぇーりーぐ,ジェーリーグ
プレミアリーグ,ぷれみありーぐ,プレミアリーグ
セリエＡ,せりえあー,セリエアー
ブンデスリーガ,ぶんですりーが,ブンデスリーガ
ＣＬ,しーえる,シーエル
ＮＰＢ,えぬぴーびー,エヌピービー
ＭＬＢ,えむえるびー,エムエルビー
Ｂリーグ,びーりーぐ,ビーリーグ
ＮＢＡ,えぬびーえー,エヌビーエー
犬,いぬ,イヌ
猫,ねこ,ネコ
動物園,どうぶつえん,ドウブツエン
水族館,すいぞくかん,スイゾクカン
アイドル,あいどる,アイドル
モデル,もでる,モデル
女優,じょゆう,ジョユウ
俳優,はいゆう,ハイユウ
お笑い芸人,おわらい げいにん,オワライ ゲイニン
Nintendo Switch,にんてんど すいっち,ニンテンド スイッチ
プレステ,ぷれすて,プレステ
ＰＳＰ,ぴーえすぴー,ピーエスピー
ゲームキューブ,げーむきゅーぶ,ゲームキューブ
Wii,うぃー,ウィー
ＤＳ,でぃーえす,ディーエス
Xbox,えっくすぼっくす,エックスボックス
ファミコン・スーパーファミコン,ふぁみこん・すーぱーふぁみこん,ファミコン・スーパーファミコン
ゲームボーイアドバンス,げーむぼーいあどばんす,ゲームボーイアドバンス
